,STORE_NAME,DATE,DATETIME,CATEGORY,REVIEW_RAW
0,Ốc Quỳnh - Nhiêu Tứ,04/2020,3/4/2020 19:34,Âu,"Ốc Quỳnh - Nhiêu Tứ
Mỗi phần nhỏ nhỏ, nêm nếm hơi cay nhưng đậm đà hợp vị mình. Riêng mấy món liên quan đến phô mai hay sốt trứng muối gì đó thì chế biến chưa ok lắm
Sò huyết tươi
Hàu, sò điệp ko tươi lắm 
Nghêu và sò dẹo tươi nhưng 1 số con vẫn còn cát."
1,Việt Kitchen Buffet - Renaissance Riverside Hotel,02/2017,28/02/2017 15:01,Âu,"Buffet Tôm Hùm Và Các Món Việt chuẩn 5 sao 1.160++
Vẫn là Buffet Tôm Hùm, Hải Sản. Riêng từ tháng 3 Nhà Hàng Có Thêm Các Món Việt Đặc Sắc đặc biệt về món Huế 
Chuẩn 5 sao ngon lắm. Chỉ có thứ 4 và 5 hàng tuần có thêm các món Việt Huế
Còn các ngày còn lại vẫn buffet tôm hùm hải sản và các món Âu
Quầy trái cây, bánh ngọt, kem tha hồ ăn cho Fans hảo tráng miệng
Tôm hùm tươi ngon chọn và bếp sẽ chế biến cho bạn và chế biến
Cua, Ghẹ, Sashimi cá hồi, cá chẽm, bạch tuộc, ốc...

 
NHÀ HÀNG VIỆT KITCHEN – Tầng Trệt
Buffet tối: 1.160.000++/người (tặng kèm 01 ly rượu vang hoặc bia, nước ngọt)
Phục vụ các tối thứ 4 & thứ 5 từ 01/03/2017 đến 06/04/2017. Đặt bàn. 08 38220033.
Xem thêm"
2,Việt Kitchen Buffet - Renaissance Riverside Hotel,02/2018,3/02/2018 20:06,Âu,"Dinner Buffet at Viet Kitchen - Renaissance Riverside Hotel
Nhân dịp sinh nhật bạn gái mình có đặt bàn cuối tuần dùng buffet tối nhưng do có việc bận nên mình đành rời lại ngày trong tuần.

📍Nhà hàng nằm ngay tầng 1 (hay tầng trệt vì mình là người Bắc) của khách sạn Renaissance Riverside có view nhìn ra đường Tôn Đức Thắng và sông Bạch Đằng, tuy vậy nhưng cũng không thể nào nhìn được ra đến sống và cũng có rất nhiều xe ôtô đỗ xe bên ngoài nên mình khá phiền.
✨Không gian nhà hàng khá rộng và rất sang trọng. Các bạn phục vụ chăm dọn đĩa, khi mình hỏi thìa nhỏ để dùng tráng miệng thì bạn đó còn lấy giúp mình luôn. Còn đầu bếp thì có một bạn hơi đậm người một chút khiến mình rất hài lòng, mỗi khi mình hỏi hay nhờ làm đồ ăn thì đều trả lời rất vui vẻ và lịch sự.
🍽Sau khi dạo quanh một vòng thì mình thấy đồ ăn không được đa dạng lắm nhưng lúc sau thì nhận ra rằng hết món này sẽ có món mới được phục vụ.
🦐Tôm hùm có thể dùng thoải mái mà không bị giới hạn như nhiều chỗ khác. Mặc dù ngày thường nhưng tôm hùm rất tươi, to và được bếp mang ra thêm liên tục, mình dùng nướng bơ tỏi và phomai thì mình thích phomai hơn, rất chất lượng.
🦀Do không có đồ bẻ càng cua nên mình cũng không ăn nhiều còn ghẹ bị bở, bên trong không có thịt mấy. Hàu nướng phomai thì mình thích nhất, nêm nếm vừa rất ngon.
🍖Quầy nướng bếp sẽ lần lượt đem ra 3 loại thịt đó là thịt cừu, thịt bò và thịt heo thì mình thích nhất thịt bò. Thịt bò được nướng vừa phải, vẫn còn tái, rất mềm và vừa miệng, thịt cừu thì do mình ăn là những miếng cuối cùng nên bị khô và nguội còn thịt heo thì hơi bã.
🍣Sashimi thì mình không thích lắm nên cũng không thử, nếu ăn thì sẽ có người đứng đó cắt giúp mình.
🍰Bánh tráng miệng và kem đa dạng, kem còn có thêm syrup để thêm hương vị cùng với các lọai topping như bánh quế, các loại hạt chocolate nhưng hơi ngọt. Còn hoa quả thì mình thấy dưa hấu quá nhạt...

Mình rất hài lòng với bữa tối chất lượng chuẩn 5 sao và giá cả phải chăng, giá gốc buffet tối là 990k++ nhưng mình dùng voucher nên chỉ còn 700k++, sẽ quay lại nếu có dịp.
Xem thêm"
3,Việt Kitchen Buffet - Renaissance Riverside Hotel,12/2017,25/12/2017 16:01,Âu,"Tiệc Noel tại nhà hàng 5 sao
Nói chung là không gian rất đẹp, phục vụ cũng rất chuyên nghiệp. Tuy nhiên đồ a ko được như mong đợi lắm, ko có gì đặc biệt, được cái các món bánh rất ngon. Quay lại.... Chắc ko rồi"
4,Việt Kitchen Buffet - Renaissance Riverside Hotel,02/2018,7/02/2018 20:59,Âu,"Điểm trung bình
Mình dùng buffet ở đây lần đầu tiên . Mình đã thuởng thức rất nhiều nhà hàng nên mình cảm thấy ở đây Không có gì đẹp để chụp hết. Không gian thoáng nhưng món ăn ko phong phú . Chất lượng món ăn kém. Quầy ăn ko chuyên nghiệp. Giá tiền đã giảm nhưng vẫn ko phù hợp. Nên ăn nhiều nhà hàng khác để cải cách cho nhà hàng của mình! Điểm + tráng miệng ngon"
5,Việt Kitchen Buffet - Renaissance Riverside Hotel,11/2017,19/11/2017 8:55,Âu,"Việt Kitchen Buffet - Renaissance Riverside Hotel
Vị trí : nằm ngay vòng xoay nên dễ bị vượt qua mà không để ý 
Không gian : không rộng lắm nhưng sang trọng , tiện nghi , nói chung là đẹp <3
Phục vụ : tận tình , nhưng mình có ghim anh phục vụ kia là lúc anh đang đi gấp í thì nói vô mặt mình là: "" sôi "" trong khi với người khác thì rất nhỏ nhẹ ?😀 còn nhiều bạn dễ thương lắm , nếu đứng ở quầy thức ăn lâu 1 chút là sẽ có bạn đến hỏi liền 
Giá cả : Buffet tối trên 1000k nhưng mình được giảm 50% còn 600-700k 
Món ăn : điểm đặc biệt là ở đây tôm hùm không giới hạn , muốn ăn bao nhiêu thì ăn , hải sản tươi , sashimi cá hồi ngon lắm luônn ,tráng miệng béo và đa dạng , trái cây rất tươi mặc dù khá ít món nhưng nói chung rất chất lượng 👍
Xem thêm"
6,Victoria Cruis - Lady Hau,03/2016,21/03/2016 10:37,Âu,"Không gian lãng mạn, phục vụ tốt nhưng buffet không đặc sắc lắm. Giá tương đối cao.
Sinh nhật bà xã mình book 2 vé dùng buffet và thưởng ngoạn trên sông sài Gòn ở Tàu Lady Hau. Nếu gọi trực tiếp tàu giá vé sẽ là 950.000 đ/người, mình gọi qua Cty du lịch là Buffalo Tours thì được giảm giá còn 850.000 đ/người. Cung cách phục vụ của các bạn trên tàu và buffalo thật tuyệt, mình chỉ nói là ngày hôm đó là sinh nhật bà xã mình, buffalo tour và thuyền Lady Hau đã tổ chức 1 đêm sinh nhật tuyệt vời, tụi mình được mọi người trên tàu hát happy birthday chúc mừng, được tặng bánh kem và 2 phần mocktails thật ngon. Chuyến đi dọc sông sài Gòn thật tuyệt, vừa ngắm cảnh vừa được ban nhạc dân tộc cho thưởng thức những điệu nhạc réo rắc. Tuy nhiên buffet ở đây không đặc sắc lắm, mình nghĩ với giá đó sẽ được thưởng thức hải sản nhưng thực tế cũng chỉ có vài món cơ bản như: Các món gỏi và cuốn, cơm chiên, thịt gà, thịt bò (thịt bò ướp vị rất ngon), một số món huế, cà ri....nói chung là không hấp dẫn làm. Hôm đó khách không đông lắm khoảng 15 người đổ lại nhưng toàn là người nước ngoài, chỉ có vợ chồng mình người Việt Nam. Thêm 1 thứ phải lưu tâm là Nước uống kêu riêng và tính tiền riêng. Tàu đón khách tại Tân Cảng (100A Ung Văn Khiêm) khởi hành từ 7h đến 9h sẽ trả khách.
Xem thêm"
7,U.BBQ - Nhà Hàng Buffet Nướng & Lẩu,10/2017,16/10/2017 13:52,Âu,"U.BBQ - Nhà Hàng Buffet Nướng & Lẩu
Quán này mới mở gần đây, phục vụ theo kiểu buffet BBQ hàn quốc quen thuộc, nhưng với bình dân hơn chút. Thịt, hải sản nướng cũng tươi, ướp vừa ăn chứ cũng ko có gì quá đặc biệt, có thể chọn món tuỳ thích. Quán rộng rãi, sạch sẽ. Nhưng do ăn đồ nướng mà vào mùa hè, quán lại đông khách thì có vẻ nóng nực. Hội họp bạn bè hay gia đình vào cuối tuần thì đến đây có vẻ ổn. Nướng và lẩu không khói do có máy hút nên yên tâm không bị ám mùi nhiều. Quán có khá nhiều chương trình khuyến mãi"
8,U.BBQ - Nhà Hàng Buffet Nướng & Lẩu,09/2020,4/09/2020 21:14,Âu,"Đồ ăn không tươi
Mình vừa ghé quán lần đầu tiên và cũng là lần cuối cùng. Chưa bao giờ đi ăn mà phải nơm nớp lo sợ bị đau bụng.

Ếch ôi thiu, thịt bò bắp dai cứng mỏi hàm. 
Hải sản bao gồm tôm, cua, mực thì bở cực kỳ, không tươi.
Còn sò, hào thì mùi ươn hôi rõ ràng.
Nghêu hấp thái còn nhiều cát.
Gỏi củ hủ dừa không thấm gia vị, nhạt nhạt.
Đa số món mình lỡ ăn rồi phải nhổ ra. Còn lỡ nuốt xuống cuống họng thì ghê ghê. 

Quầy thực phẩm cần giữ lạnh thì không đủ đá ướp lạnh.
Quầy thực phẩm nóng như canh súp thì không đủ nến làm nóng, món ăn đều nguội lạnh.
Quầy rau xà lách thì ập vào mắt là 2 lá rau dập úa đen thui, không rõ rau có được lặt & rửa không.
Kem tươi kết câu kỳ kỳ, sánh sánh như nước cốt dừa, kem không ngon

Vì nhiệt độ bảo quản không tốt nên thức ăn rất dễ bị ôi thiu. 

Nhân viên bốc bún bằng tay không, không đeo bao tay.

Quầy nước thì ok, mình chọn nước bí đao hạt é uống ngon.
Ba chỉ bò Mỹ ăn ok. 
Nước lẩu cua ngon, nhúng bắp chuối & rau muống ngon, thịt cua thì bở

Túm lại là 220k/người mà ăn đc vài món thì mình thấy không xứng đáng. Quán cần kiểm tra lại chất lượng thức ăn gấp & nhiệt độ bảo quản thực phẩm.
Xem thêm"
9,U.BBQ - Nhà Hàng Buffet Nướng & Lẩu,12/2018,9/12/2018 22:02,Âu,"Ubbq ngon
Giá cả không mắc hơn bao nhiêu nhưng lại thoải mái lắm, phục vụ nhiệt tình hơn, trang trí cũng đẹp hơn, có thông khói, không bi ngợp khói, đồ ăn trong menu cũng đa dạng thịt hay hải sản gì gọi lên món cũng nhanh, mình gọi phần 199k thì được free lun cả nước, có quần ăn chung dành cho mọi mức giá, những bạn không đợi được lâu có thể ăn nhẹ trước"
