,store_name,cmt,time_cmt,category
10380,Sushi Nhí - Nguyễn Công Trứ,"Ố la
Tuyệt vời ông mặt trời ❣️ ăn ở đây rất nhiều lần và rất thích món ăn ở đây",22/06/2018 17:21,Buffet
11173,Bánh Tráng Kẹp Dì Hoa - Nguyễn Thị Thập,"Bánh Tráng Kẹp Dì Hoa
Quán này trong hẻm tuy cũng không khó tìm...
Về giá thì rất rất là rẻ so với các quán ăn khác hiện này
Về chất lượng thì mình thấy bình thương nhưng nhờ vào loại nước sốt đặc biệt của quán nên món ăn ngon hơn rất rất nhiều 👍👍👍
Ngoài ra quán còn có thêm các món ăn no như bún bò... Vì mình chưa thử mình hk review",27/08/2016 23:49,Lẩu Nướng
6799,King BBQ Buffet - Mạc Đĩnh Chi,"Không quay lại
Hôm nay mình cũng hơi bực mình về quán, lên đồ ăn cực kì chậm, ord mà mãi không lên đồ ăn luôn, trong khi đó không hề ord nước thì lại bưng lên, thì hoá ra bàn kế bên ord, và câu chuyện sau đó thì các bạn phục vụ không chỉnh sửa bill mà 2 ly nước của 2 bn gái xinh đẹp bàn kế bên để mình phải trả bởi vì in bill rồi không in lại, mình đồng ý trả khoảng tiền 2 ly nước mà mình không sử dụng bởi vì cũng không muốn lùm xùm và thấy bạn nhân viên khá lúng túng mà cũng không đáng là bao nhiu mà lại rước bực vào người nên thôi giải quyết nhanh gọn lẹ mặc dù không được hài lòng",10/10/2019 0:27,Lẩu Nướng
10587,"Kem Tươi, Kem Chiên & Cá Viên Chiên - Nguyễn Xuân Khoát","Dae to the bak!!!!
Đây là lần thứ 2 mình đi ăn vặt ở đây rồi, cảm giác vẫn như lần đầu ☺️
Vừa mới vào là nhân viên đã niềm nở bưng ra cho 1 ca chanh dây to tướng (free) rồi mình thấy ưng thái độ của nhân viên là đưa menu hay tiền thối lại bằng 2 tay và nói ""cảm ơn"" ❤️ hôm đó mình đi ăn tầm hơn 90k thôi mà cũng được tặng 1 chai pepsi free nữa (lần đầu mình đi phải trên 130k mới được tặng kèm 1 chai pepsi)
Về không gian: rộng rãi, mát mẻ và sạch sẽ
Về vị trí: nằm ở mặt tiền đường NXK nên dễ tìm 
Về thức ăn: ngon khỏi chê, mùi vị của các món chiên thì mùi nào ra mùi đó chứ không như những nơi khác
Nói chung là còn quay lại quán dài dài nếu quán giữ vững phong độ thế này 👍
Mấy bạn nên đi thử 1 lần đi nhé, đúng chất ""ăn vặt"" luôn ý!!!
Xem thêm",20/03/2016 8:39,Lẩu Nướng
3831,Sentosa Food - Cháo Ếch Singapore - Phan Tây Hồ,"Sentosa Food - Cháo Ếch Singapore - Phan Xích Long
Cháo lá dứa thơm, vừa ăn không quá đặc
Ếch to, béo, nhưng hơi nhạt so với khẩu vị của mình
Không gian quán có nhỏ với hơi ồn",25/3/2018 14:52,
14976,Brotzeit - Nhà Hàng Đức - Mplaza Saigon,"Brotzeit - Nhà Hàng Đức - Mplaza Saigon
Good Food",20/10/2023 16:28,
4832,Sumo BBQ - Lê Văn Sỹ - Buffet Nướng & Lẩu,"Sumo BBQ Lê Văn Sỹ
Giá hơi cao so với những buffet khác nhưng cảm thấy rất xứng đáng, không biết mấy Sumo chi nhánh khác như thế nào vì đó giờ ăn ở mỗi chi nhánh này vì gần nhà. Nhân viên ai cũng thân thiện vui vẻ với khách. Kem ở đây bao ngon luôn, đủ thứ mùi. Điểm cộng ở đây có lẽ là quầy buffet line khá nhiều món, đa dạng hơn những chỗ khác. Menu rất nhiều món dô ăn thịt nướng và hải sản, sợ còn không ăn hết những món trong menu nữa là.",30/09/2019 23:50,Âu
10815,Bà Bắc - Bánh Tráng Cuốn Trộn,"Được
Mình đến vào giờ trưa nên vắng khách, phục vụ nhanh chỉ có hơi đơ không cởi mở. Đồ ăn ngon, đa dạng lại lạ miệng nữa, nuớc chấm ngon lắm. Không gian nhỏ, bàn ghế cũng không sạch sẽ lắm. Nói chung là được thôi. Giá cả nghĩ cũng được.",7/04/2018 23:10,Bò
5970,Shabu Ya - SC VivoCity,"Nước lẩu chất lượng giá cả hợp lý
Có chương trình nên ghé thử thưởng thức theo lời giới thiệu của các bạn gần xa.
Chất lượng phục vụ khá tốt. Các bạn phục vụ rất nhiệt tình, đồ ăn buffet được lên đủ khi hết.
Lẩu cay khá ngon. Lẩu collagen gì đo không còn nữa :D
Hoàn toàn hài lòng cho một bữa no nê :D",7/12/2016 18:25,Âu
7932,Shabu Ya - Vạn Hạnh Mall,"Nice
Ăn ở đây 4 lần rồi thấy mọi thứ đều tốt
Giá : trung bình 
Đồ ăn : thức ăn được fill sẵn từ rau cho đến mọi thứ đều rất tươi, sạch sẽ và phân chia rõ ràng
Thức ăn được phục vụ cũng tươi và ngon, gọi thoải mái vì là buffet, nước ngọt & suối thì free, kem free
Service tốt và tận tình
Không gian rất sạch và sang chảnh luôn",6/01/2020 4:32,Âu
648,Làng Nướng Nam Bộ - Tô Hiến Thành,"Làng Nướng Nam Bộ - Tô Hiến Thành
Mình với đám bạn rất thường xuyên ăn ở đây, phải nói món ăn ngon tuyệt. Dù ăn bất cứ nơi nào rồi nhưng vẫn nhớ hương vị ở đây . Giá cả phải chăng nói chung là tiền nào của nấy thôi. Nhân viên phục vụ nhanh gọn lẹ và rất chu đáo ân cần . Quán sạch sẽ không gian mát mẻ có thể selfie được nhé . Chủ quán cũng nhiệt tình nữa nè. Ăn đi không là tiếc lắm í.",16/8/2018 17:54,Lẩu Nướng
